"1","abide","abode","abode","demeurer"
"2","arise","arisen","arose","s'élever, survenir"
"3","awake","awoken","awoke","(se) réveiller"
"4","bear","borne","bore","supporter"
"5","beat","beaten","beat","battre"
"6","become","become","became","devenir"
"7","begin","begun","began","commencer"
"8","bend","bent","bent","(se) courber"
"9","bet","bet","bet","parier"
"10","bid","bid","bid","offrir (un prix)"
"11","bind","bound","bound","lier, relier"
"12","bite","bitten","bit","mordre"
"13","bleed","bled","bled","saigner"
"14","blow","blown","blew","souffler"
"15","break","broken","broke","casser"
"16","breed","bred","bred","élever (du bétail)"
"17","bring","brought","brought","apporter"
"18","build","built","built","construire"
"19","burn","burnt","burnt","brûler"
"20","burst","burst","burst","éclater"
"21","buy","bought","bought","acheter"
"22","cast","cast","cast","jeter, lancer"
"23","catch","caught","caught","attraper"
"24","choose","chosen","chose","choisir"
"25","cling","clung","clung","s'accrocher"
"26","come","come","came","venir"
"27","cost","cost","cost","coûter"
"28","creep","crept","crept","ramper"
"29","cut","cut","cut","couper"
"30","deal","dealt","dealt","distribuer"
"31","dig","dug","dug","creuser"
"32","do","done","did","faire"
"33","draw","drawn","drew","dessiner"
"34","dream","dreamt","dreamt","rêver"
"35","drink","drunk","drank","boire"
"36","drive","driven","drove","conduire"
"37","dwell","dwelt","dwelt","habiter"
"38","eat","eaten","ate","manger"
"39","fall","fallen","fell","tomber"
"40","feed","fed","fed","nourrir"
"41","feel","felt","felt","sentir, éprouver"
"42","fight","fought","fought","combattre"
"43","find","found","found","trouver"
"44","flee","fled","fled","s'enfuir"
"45","fling","flung","flung","jeter violemment"
"46","fly","flown","flew","voler"
"47","forbid","forbidden","forbade","interdire"
"48","forget","forgotten","forgot","oublier"
"49","forgive","forgiven","forgave","pardonner"
"50","freeze","frozen","froze","geler"
"51","get","got","got","obtenir"
"52","give","given","gave","donner"
"53","go","gone","went","aller"
"54","grind","ground","ground","moudre"
"55","grow","grown","grew","grandir"
"56","hang","hung","hung","pendre, accrocher"
"57","have","had","had","avoir"
"58","hear","heard","heard","entendre"
"59","hide","hidden","hid","(se) cacher"
"60","hit","hit","hit","frapper, atteindre"
"61","hold","held","held","tenir"
